

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.005  000.005: --- NVIM STARTING ---
000.097  000.092: event init
000.154  000.057: early init
000.187  000.033: locale set
000.214  000.027: init first window
000.401  000.187: inits 1
000.410  000.009: window checked
000.412  000.001: parsing arguments
000.783  000.045  000.045: require('vim.shared')
000.853  000.030  000.030: require('vim._meta')
000.855  000.069  000.039: require('vim._editor')
000.856  000.172  000.059: require('vim._init_packages')
000.857  000.273: init lua interpreter
000.897  000.040: expanding arguments
000.919  000.021: inits 2
001.125  000.207: init highlight
001.126  000.001: waiting for UI
001.354  000.227: done waiting for UI
001.370  000.017: clear screen
001.468  000.097: init default mappings & autocommands
002.293  000.038  000.038: sourcing /usr/share/nvim/runtime/ftplugin.vim
002.435  000.022  000.022: sourcing /usr/share/nvim/runtime/indent.vim
002.489  000.008  000.008: sourcing /usr/share/nvim/archlinux.vim
002.491  000.026  000.018: sourcing /etc/xdg/nvim/sysinit.vim
004.138  000.190  000.190: require('packer.util')
004.163  000.894  000.704: require('packer')
004.837  000.201  000.201: require('packer.log')
004.841  000.364  000.164: require('packer.async')
005.171  000.110  000.110: require('packer.result')
005.174  000.332  000.221: require('packer.jobs')
005.178  000.999  000.304: require('packer.plugin_utils')
005.362  000.177  000.177: require('packer.snapshot')
005.656  003.130  001.060: require('plugins')
006.735  000.135  000.135: require('vim.treesitter.language')
006.745  000.493  000.358: require('vim.treesitter.query')
008.660  000.139  000.139: require('vim.treesitter._range')
008.666  000.522  000.383: require('vim.treesitter.languagetree')
008.671  000.780  000.258: require('vim.treesitter')
009.038  001.853  001.073: require('nvim-treesitter.parsers')
009.210  000.170  000.170: require('nvim-treesitter.utils')
009.214  002.313  000.289: require('nvim-treesitter.ts_utils')
009.218  002.473  000.160: require('nvim-treesitter.tsrange')
009.311  000.092  000.092: require('nvim-treesitter.caching')
009.320  003.303  000.246: require('nvim-treesitter.query')
009.329  003.642  000.339: require('nvim-treesitter.configs')
009.979  000.159  000.159: require('nvim-treesitter.info')
010.183  000.202  000.202: require('nvim-treesitter.shell_command_selectors')
010.199  000.812  000.451: require('nvim-treesitter.install')
011.100  005.441  000.988: require('treesitter-config')
012.411  000.253  000.253: require('nvim-tree.notify')
012.418  000.378  000.124: require('nvim-tree.events')
012.787  000.106  000.106: require('nvim-tree.log')
013.226  000.121  000.121: require('nvim-tree.iterators.node-iterator')
013.264  000.475  000.354: require('nvim-tree.utils')
013.455  000.190  000.190: require('nvim-tree.git.utils')
013.675  000.218  000.218: require('nvim-tree.git.runner')
013.839  000.162  000.162: require('nvim-tree.watcher')
013.843  001.324  000.174: require('nvim-tree.git')
013.953  000.109  000.109: require('nvim-tree.explorer.watch')
014.046  000.092  000.092: require('nvim-tree.explorer.common')
014.259  000.106  000.106: require('nvim-tree.explorer.node-builders')
014.409  000.148  000.148: require('nvim-tree.explorer.sorters')
014.515  000.103  000.103: require('nvim-tree.explorer.filters')
014.949  000.290  000.290: require('nvim-tree.view')
014.953  000.435  000.146: require('nvim-tree.live-filter')
014.954  000.906  000.114: require('nvim-tree.explorer.explore')
015.082  000.126  000.126: require('nvim-tree.explorer.reload')
015.084  002.665  000.107: require('nvim-tree.explorer')
015.086  003.125  000.082: require('nvim-tree.core')
015.238  000.151  000.151: require('nvim-tree.diagnostics')
015.365  000.125  000.125: require('nvim-tree.renderer.components.padding')
015.471  000.104  000.104: require('nvim-tree.renderer.components.icons')
015.590  000.118  000.118: require('nvim-tree.renderer.components.full-name')
015.694  000.102  000.102: require('nvim-tree.renderer.help')
015.850  000.137  000.137: require('nvim-tree.renderer.components.git')
016.155  000.304  000.304: require('nvim-tree.renderer.builder')
016.262  000.104  000.104: require('nvim-tree.marks')
016.270  004.440  000.171: require('nvim-tree.renderer')
016.358  000.085  000.085: require('nvim-tree.actions.tree-modifiers.collapse-all')
016.430  000.071  000.071: require('nvim-tree.actions.root.dir-up')
016.538  000.106  000.106: require('nvim-tree.actions.root.change-dir')
016.637  000.097  000.097: require('nvim-tree.actions.reloaders.reloaders')
016.735  000.096  000.096: require('nvim-tree.actions.finders.find-file')
016.737  005.053  000.158: require('nvim-tree.lib')
016.857  000.119  000.119: require('nvim-tree.colors')
017.065  000.205  000.205: require('nvim-tree.legacy')
017.261  000.194  000.194: require('nvim-tree.actions.fs.copy-paste')
017.488  000.101  000.101: require('nvim-tree.actions.tree-modifiers.expand-all')
017.563  000.073  000.073: require('nvim-tree.actions.tree-modifiers.toggles')
017.701  000.135  000.135: require('nvim-tree.actions.fs.create-file')
017.795  000.092  000.092: require('nvim-tree.actions.fs.rename-file')
017.928  000.131  000.131: require('nvim-tree.actions.fs.trash')
018.054  000.124  000.124: require('nvim-tree.actions.fs.remove-file')
018.139  000.083  000.083: require('nvim-tree.actions.moves.parent')
018.224  000.083  000.083: require('nvim-tree.actions.moves.sibling')
018.309  000.083  000.083: require('nvim-tree.actions.moves.item')
018.411  000.099  000.099: require('nvim-tree.actions.finders.search-node')
018.481  000.069  000.069: require('nvim-tree.actions.node.run-command')
018.580  000.097  000.097: require('nvim-tree.actions.node.file-popup')
018.686  000.104  000.104: require('nvim-tree.actions.node.system-open')
018.773  000.085  000.085: require('nvim-tree.marks.bulk-move')
018.776  001.512  000.152: require('nvim-tree.actions.dispatch')
018.785  007.592  000.508: require('nvim-tree')
018.852  000.066  000.066: require('nvim-tree.config')
019.570  000.029  000.029: require('vim.inspect')
020.626  000.257  000.257: require('nvim-tree.actions')
020.858  000.228  000.228: require('nvim-tree.actions.node.open-file')
022.170  000.111  000.111: require('nvim-tree.marks.navigation')
022.173  000.287  000.176: require('nvim-tree.api')
022.184  000.478  000.191: require('nvim-tree.keymap')
023.034  000.006  000.006: require('vim.F')
023.087  000.776  000.770: require('nvim-web-devicons')
024.373  013.271  003.845: require('nvim-tree-config')
025.165  000.154  000.154: require('which-key.util')
025.169  000.288  000.134: require('which-key.tree')
025.287  000.117  000.117: require('which-key.config')
025.292  000.726  000.321: require('which-key.keys')
025.295  000.864  000.138: require('which-key')
025.345  000.970  000.106: require('which-keys')
025.445  000.098  000.098: require('basic-config')
025.547  000.004  000.004: require('vim.keymap')
025.680  000.233  000.229: require('keykinds')
026.345  000.064  000.064: require('cmp.utils.debug')
026.577  000.108  000.108: require('cmp.utils.char')
026.582  000.234  000.126: require('cmp.utils.str')
026.647  000.064  000.064: require('cmp.utils.pattern')
027.045  000.139  000.139: require('cmp.utils.misc')
027.109  000.062  000.062: require('cmp.utils.buffer')
027.201  000.090  000.090: require('cmp.utils.api')
027.205  000.472  000.180: require('cmp.utils.keymap')
027.208  000.559  000.088: require('cmp.utils.feedkeys')
027.326  000.118  000.118: require('cmp.utils.async')
027.545  000.066  000.066: require('cmp.types.cmp')
027.710  000.163  000.163: require('cmp.types.lsp')
027.764  000.052  000.052: require('cmp.types.vim')
027.766  000.341  000.060: require('cmp.types')
027.834  000.067  000.067: require('cmp.utils.cache')
027.837  000.508  000.100: require('cmp.context')
028.320  000.125  000.125: require('cmp.config.mapping')
028.573  000.159  000.159: require('cmp.config.compare')
028.575  000.252  000.093: require('cmp.config.default')
028.588  000.539  000.161: require('cmp.config')
029.072  000.162  000.162: require('cmp.matcher')
029.088  000.499  000.337: require('cmp.entry')
029.093  001.255  000.217: require('cmp.source')
029.321  000.072  000.072: require('cmp.utils.event')
029.699  000.062  000.062: require('cmp.utils.options')
029.705  000.261  000.198: require('cmp.utils.window')
029.707  000.383  000.122: require('cmp.view.docs_view')
030.075  000.082  000.082: require('cmp.utils.autocmd')
030.082  000.375  000.293: require('cmp.view.custom_entries_view')
030.276  000.192  000.192: require('cmp.view.wildmenu_entries_view')
030.424  000.146  000.146: require('cmp.view.native_entries_view')
030.532  000.106  000.106: require('cmp.view.ghost_text_view')
030.538  001.444  000.170: require('cmp.view')
030.585  004.616  000.369: require('cmp.core')
030.714  000.064  000.064: require('cmp.config.sources')
030.778  000.062  000.062: require('cmp.config.window')
030.808  005.050  000.307: require('cmp')
031.478  000.031  000.031: require('luasnip.session')
031.484  000.308  000.277: require('luasnip.util.util')
031.613  000.128  000.128: require('luasnip.session.snippet_collection')
032.034  000.332  000.332: require('luasnip.util._builtin_vars')
032.085  000.470  000.138: require('luasnip.util.environ')
032.135  000.049  000.049: require('luasnip.util.extend_decorator')
032.255  000.032  000.032: require('luasnip.loaders._caches')
032.353  000.096  000.096: require('luasnip.util.path')
032.361  000.224  000.097: require('luasnip.loaders')
032.457  000.092  000.092: require('luasnip.util.log')
032.658  000.027  000.027: require('luasnip.util.types')
032.728  000.068  000.068: require('luasnip.util.ext_opts')
032.778  000.048  000.048: require('luasnip.extras.filetype_functions')
032.902  000.432  000.289: require('luasnip.config')
