1password 8.10.7-41
accountsservice 23.13.9-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adobe-source-sans-fonts 3.052-1
aic94xx-firmware 30-9
alacritty 0.12.1-1
alsa-firmware 1.2.4-3
alsa-lib 1.2.9-1
alsa-plugins 1:1.2.7.1-2
alsa-utils 1.2.9-1
android-google-play-licensing 1:1.r02-1
android-platform 33_r02-1
android-sdk 26.1.1-2
android-sdk-build-tools r34.0.0-1
android-sdk-cmdline-tools-latest 9.0-1
android-sdk-platform-tools 34.0.3-1
android-udev 20230303-1
appstream 0.16.2-1
arandr 0.1.11-2
arc-darkest-theme-git r172.c8bdaead59-1
arc-gtk-theme 20221218-1
arch-install-scripts 28-1
archiso 71-1
archlinux-keyring 20230504-1
archlinux-logout-git 23.06-01
archlinux-tweak-tool-git 23.06-02
arcolinux-alacritty-git 23.06-01
arcolinux-arc-kde 20220908-01
arcolinux-bin-git 23.06-03
arcolinux-config-all-desktops-git 23.06-01
arcolinux-conky-collection-git 23.06-01
arcolinux-dconf-all-desktops-git 23.06-01
arcolinux-desktop-trasher-git 23.06-01
arcolinux-fonts-git 23.06-01
arcolinux-fvwm3-git 23.06-01
arcolinux-grub-theme-vimix-git 20230305-03
arcolinux-gtk3-sardi-arc-git 23.06-01
arcolinux-hblock-git 3.4.1-1
arcolinux-i3wm-git 23.06-01
arcolinux-keyring 20251209-3
arcolinux-kvantum-git 23.06-01
arcolinux-local-applications-all-hide-git 23.06-01
arcolinux-local-applications-git 23.06-01
arcolinux-local-xfce4-git 23.06-01
arcolinux-meta-steam-nvidia 23.06-01
arcolinux-mirrorlist-git 23.06-01
arcolinux-neofetch-git 23.06-01
arcolinux-nitrogen-git 23.06-01
arcolinux-pamac-all 10.5.0-1
arcolinux-paru-git 23.06-01
arcolinux-pipemenus-git 23.06-01
arcolinux-polybar-git 23.06-01
arcolinux-qt5-git 23.06-01
arcolinux-rofi-git 23.06-01
arcolinux-rofi-themes-git 23.06-01
arcolinux-root-git 23.06-01
arcolinux-sddm-simplicity-git 23.06-01
arcolinux-system-config-git 23.06-01
arcolinux-systemd-services-git 23.06-01
arcolinux-variety-autostart-git 23.06-01
arcolinux-variety-git 23.06-01
arcolinux-volumeicon-git 23.06-01
arcolinux-wallpapers-git 23.06-01
arcolinux-welcome-app-git 23.06-01
arcolinux-xfce-git 23.06-01
arcolinux-zsh-git 23.06-01
asciinema 2.2.0-3
atril 1.26.1-1
autoconf 2.71-4
autojump 22.5.3-9
automake 1.16.5-2
autorandr 1.13.3-1
autotiling 1.8-4
avahi 0.8+22+gfd482a7-4
awesome-terminal-fonts 1.1.0-4
base 3-1
bash-completion 2.11-3
bat 0.23.0-3
bibata-cursor-theme-bin 2.0.3-1
bind 9.18.15-1
binutils 2.40-6
bison 3.8.2-5
blueberry 1.4.8-1
bluez 5.66-1
bluez-libs 5.66-1
bluez-utils 5.66-1
brave-bin 1:1.52.117-1
broadcom-wl-dkms 6.30.223.271-36
btrfs-progs 6.3-2
clang 15.0.7-9
cloc 1.96-1
clonezilla 3.35.2-5
cmake 3.26.4-1
conky-lua-archers 1.11.3-2
cryptsetup 2.6.1-3
cups 1:2.4.3-1
cups-filters 1.28.17-4
cups-pdf 3.0.1-7
dart 2.19.5-1
dconf-editor 43.0-1
ddrescue 1.27-1
debugedit 5.0-5
dex 0.9.0-1
dhclient 4.4.3.P1-2
dialog 1:1.3_20230209-1
diffutils 3.10-1
discord 0.0.27-2
dmenu 5.2-1
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
dnsmasq 2.89-1
docker 1:24.0.2-1
dosfstools 4.2-3
downgrade 11.3.0-1
duf-bin 0.6.2-2
e2fsprogs 1.47.0-1
ecm-tools 1.03-3
edid-decode-git r651.2d44e1b-1
edk2-shell 202302-1
efibootmgr 18-2
elixir 1.14.0-1
epdfview 0.1.8-11
ethtool 1:6.3-1
evince 44.1-1
exfatprogs 1.2.1-1
exo 4.18.0-1
expac 10-5
f2fs-tools 1.16.0-2
fakeroot 1.31-2
fatresize 1.1.0-1
fd 8.7.0-1
feh 3.10-1
festival 2.5.0-4
festival-english 2.5-2
festival-us 2.5-2
ffmpegthumbnailer 2.2.2-5
figma-linux 0.9.6-0
file 5.44-3
file-roller 43.0-2
