1password 8.10.36-46
1password-cli 2.29.0-1
accountsservice 23.13.9-2
adobe-source-han-sans-cn-fonts 2.004-2
adobe-source-han-sans-jp-fonts 2.004-2
adobe-source-han-sans-kr-fonts 2.004-2
adobe-source-sans-fonts 3.052-2
aic94xx-firmware 30-10
alacritty 0.13.2-2
alsa-firmware 1.2.4-4
alsa-lib 1.2.12-1
alsa-plugins 1:1.2.12-2
alsa-utils 1.2.12-1
android-google-play-licensing 1:1.r02-1
android-platform 35_r01-1
android-sdk 26.1.1-2
android-sdk-build-tools r34.0.0-2
android-sdk-cmdline-tools-latest 13.0-2
android-sdk-platform-tools 35.0.1-1
android-udev 20240625-1
appstream 1.0.3-1
arandr 0.1.11-3
arc-darkest-theme-git r172.c8bdaead59-1
arc-gtk-theme 20221218-2
arch-install-scripts 28-2
archiso 78-1
archlinux-keyring 20240709-1
archlinux-logout-git 24.07-01
archlinux-tweak-tool-git 24.07-33
arcolinux-alacritty-git 23.12-01
arcolinux-arc-kde 20240317-01
arcolinux-bin-git 24.07-01
arcolinux-bootloader-grub-git 24.05-02
arcolinux-config-all-desktops-git 23.06-01
arcolinux-conky-collection-git 24.04-01
arcolinux-dconf-all-desktops-git 24.04-02
arcolinux-desktop-trasher-git 24.06-01
arcolinux-fonts-git 23.06-01
arcolinux-fvwm3-git 24.04-01
arcolinux-grub-theme-vimix-git 20230305-03
arcolinux-gtk3-sardi-arc-git 23.06-01
arcolinux-hblock-git 3.4.5-1
arcolinux-i3wm-git 24.02-03
arcolinux-keyring 20251209-3
arcolinux-kvantum-git 24.04-01
arcolinux-local-applications-all-hide-git 23.06-01
arcolinux-local-applications-git 23.06-01
arcolinux-local-xfce4-git 23.06-01
arcolinux-meta-steam-nvidia 24.02-02
arcolinux-mirrorlist-git 24.03-12
arcolinux-neofetch-git 24.03-01
arcolinux-nitrogen-git 23.06-01
arcolinux-paru-git 23.06-01
arcolinux-pipemenus-git 23.09-02
arcolinux-polybar-git 23.11-02
arcolinux-qt5-git 23.06-01
arcolinux-rofi-git 23.12-02
arcolinux-rofi-themes-git 23.06-01
arcolinux-root-git 24.05-03
arcolinux-sddm-simplicity-git 24.04-02
arcolinux-system-config-git 24.07-03
arcolinux-systemd-services-git 23.06-01
arcolinux-variety-autostart-git 24.03-01
arcolinux-volumeicon-git 23.06-01
arcolinux-wallpapers-git 24.04-01
arcolinux-welcome-app-git 24.05-11
arcolinux-zsh-git 24.05-02
arconet-variety-config 24.07-05
arconet-xfce 24.07-02
asciinema 2.4.0-3
atril 1.28.0-2
autoconf 2.72-1
autojump-rs 0.5.1-2
automake 1.16.5-2
autorandr 1.15-1
autotiling 1.9.3-1
avahi 1:0.8+r194+g3f79789-2
awesome-terminal-fonts 1.1.0-5
base 3-2
base-devel 1-1
bash-completion 2.14.0-2
bat 0.24.0-2
bibata-cursor-theme-bin 2.0.7-1
bind 9.18.27-1
binutils 2.42+r91+g6224493e457-1
bison 3.8.2-6
blueberry 1.4.8-2
bluez 5.77-1
bluez-libs 5.77-1
bluez-utils 5.77-1
brave-bin 1:1.67.123-2
broadcom-wl-dkms 6.30.223.271-37
btrfs-progs 6.9.2-1
